ID,City,lat,lon,countryCode
3854493,Guatrache,-37.667759,-63.530220,AR
3863503,Cafayate,-26.072950,-65.976143,AR
3846236,Los Condores,-32.319839,-64.277519,AR
3852374,La Calera,-31.343769,-64.335289,AR
3865413,Arroyo Cabral,-32.491192,-63.401260,AR
3832080,Zonda,-31.549999,-68.733330,AR
3841301,Picun Leufu,-39.523510,-69.279663,AR
3865840,Anatuya,-28.460640,-62.834721,AR
3835402,Segui,-31.956421,-60.124882,AR
3863362,Calingasta,-31.330839,-69.407829,AR
3848343,Las Higueras,-33.092312,-64.289001,AR
3855056,General San Martin,-37.979038,-63.604488,AR
3432355,La Leonesa,-27.037861,-58.703468,AR
3865742,Anguil,-36.525669,-64.010246,AR
3860197,Coronel Du Graty,-27.680380,-60.914619,AR
3846080,Los Juries,-28.465389,-62.108620,AR
3430943,Makalle,-27.206869,-59.286961,AR
3835938,Santa Rosa de Rio Primero,-31.152309,-63.401909,AR
3839588,Quilino,-30.213970,-64.500633,AR
3859500,Del Campillo,-34.376591,-64.495041,AR
3832759,Villa de Soto,-30.855230,-64.999474,AR
3833947,Trancas,-26.231350,-65.280251,AR
3851181,La Francia,-31.406750,-62.633961,AR
3430015,Picada Gobernador Lopez,-27.670691,-55.245850,AR
3832805,Villa Atamisqui,-28.496090,-63.816090,AR
3429157,San Cosme,-27.371229,-58.512138,AR
3833463,Ucacha,-33.032028,-63.506660,AR
3866959,Achiras,-33.175381,-64.993309,AR
